code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51340;0;0.9;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.3;0.3;0.1
51341;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51342;0;0.3;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0.3;0.3;0;0.3;0.3;0.1
51344;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51345;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0
51346;0.4;0.9;0;1.2;0;0.1;0.1;0.6;2.6;0;0;1;1.4;0;0.6;0.3;0.6;0.4;0;1.4;0;1;1.4;0;0.7;0.1;0.4;0.4;0;1.1;1.2;1.3;1.4;1.3;0.7
51347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51348;0.4;0.6;0.5;1.1;0.2;0.8;0.2;0.5;0.5;0.5;0.4;0.5;0.7;0;0.3;0.7;0.8;0.5;0.2;0.5;0.4;0.7;0.7;0;0.3;0.7;1;0.5;0.2;0.5;0.7;0.7;0.4;0.5;0.5
51349;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0
51351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0
51352;0.2;0.5;0.7;0.8;0;0.2;0.5;0.8;0.8;0.1;0.1;0.5;0.5;0;0.7;0.5;0.8;0.5;0.3;0.6;0.1;0.5;0.3;0;0.7;0.5;0.8;0.5;0.3;0.6;0.5;0.5;0.8;0.6;0.5
51354;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51359;0;0.4;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51361;1.8;0.9;0.8;1.5;0.4;1.2;0.7;1.9;2;0.8;1;1.6;2.4;0;1.3;1.5;2.1;1.1;0.5;1.9;1;1.8;2.4;0;1.4;1.3;1.8;1.1;0.5;2;1.9;1.7;1.8;1.9;1.4
51363;1.8;1.5;1.9;2.3;1.1;2.3;0.6;1.7;2.3;1.3;1.3;2.3;2.7;0.9;2.3;2.3;3;1.9;0.7;1.3;1.3;2.3;2.2;0.9;2.7;2.7;3.4;1.9;0.7;1.8;1.8;1.8;2.5;1.7;1.8
51364;2.3;1.4;2.5;2.2;1.4;2.9;1.3;2.4;2;1.9;3.1;2.1;3;0.4;1.7;3;3.3;2.8;1.3;1.7;3.1;2.3;3;0.4;1.9;2.6;3.5;2.8;1.3;1.7;1.5;3.1;2.3;2.1;2.2
51377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51389;0;0.1;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51392;2.1;1.6;2.2;2.3;0.9;1.9;1.7;1.4;1.7;0.6;1.3;1.7;1.6;1.1;2;1.8;1.8;1.4;1.5;1.5;1.3;1.7;1.6;1.1;2;1.8;1.8;1.4;1.5;1.5;2.4;1.4;1.4;1.2;1.6
51394;0.4;0.4;0.5;0.5;0;0;0.4;0.4;0.7;0.2;0;0.5;0.2;0;0.9;0.5;0.2;0.5;0.2;0.9;0;0.5;0.2;0;0.9;0.5;0.2;0.5;0.2;0.9;0.4;0.4;0.5;0.4;0.4
