ID,name,LH1,LH2,LH3,LH4,LH5,LM1,LM2,LM3,LM4,IL2,L3,L4,TA1,TA11,UH2,UH1,UM1,UM2,UM3
33,Baringo,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Bomet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Bungoma,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
53,Busia,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41,Elgeyo Marakwet,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Embu,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
19,Garissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Homa Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Isiolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Kajiado,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,Kakamega,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Kericho,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Kiambu,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Kilifi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Kirinyaga,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60,Kisii,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Kisumu,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14,Kitui,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Kwale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Laikipia,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Lamu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Machakos,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16,Makueni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Mandera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Marsabit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Meru,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27,Migori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Mombasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Murang'a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42,Nakuru,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Narok,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Nyamira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Nyandarua,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Nyeri,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Samburu,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Siaya,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
11,Taita-Taveta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Tana River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Tharaka Nithi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Trans Nzoia,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Turkana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Uasin Gishu,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Vihiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Wajir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,West Pokot,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
