code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;1.3;1.3;0;0;0.3;2;1.3;2;2.3;2.8;2.2;0;0.2;0.7;1.9;2.8;2.8;2.5;1.4;0.9;0.3;2.1;2.3;2.2;3.2;2.5;2.3;1.2;2.5;3.1;2.8;2.1;2.9;2.3;1.6;2;0.9
51334;1.6;0.8;0;0;2.1;1.6;1.8;0.8;2.9;1.9;0.6;0.4;0.3;2.2;2.7;1.9;2.4;2.5;1.8;0;0.5;2.8;3.5;2.7;2.3;2.3;0.9;1.6;2.9;2.5;2.1;3.1;2.6;2.9;2.4;2.6;1.9
51336;0.9;1.8;0;0;1.5;1.7;1.9;1.7;2.5;2.2;1.7;0;0.2;1.2;1.8;2.1;2.9;2.1;1.9;0;0.4;2.5;3.1;2.7;2.8;2.1;2.4;1.2;2.5;3.4;2;2.3;3;2.2;1.8;2.5;0.8
51337;1.2;1.1;0;0;2;1.3;1.7;1.6;2.6;2.2;0.6;0.2;0;1.7;2.5;2;3.1;2.1;2.2;0;0.4;3.5;3.2;3.5;3;2.5;1.1;2;2.6;2.6;1.7;3.1;2.7;2.7;2.4;2.3;1
51350;1.7;1.2;0.5;0;0.2;1.9;1.5;2.3;2.1;2.7;2.2;0.1;0.5;0.6;2.2;2.2;3.1;2.4;1.7;1.6;0.2;2.1;2.7;2.1;3.2;2.5;2.3;0.8;2.4;3.1;3;2.1;2.6;2.4;1.9;1.9;1.2
51366;1.8;1.3;0;0;1.9;1.8;1.5;1.6;2.6;2.1;1.9;0;0.9;1.2;1.4;2.7;2.3;1.8;1.6;0.5;0.2;2.8;2.4;2.8;2.6;3.5;1.6;2;2.5;3.1;3.5;2.1;2.4;1.9;2.2;1.8;0.7
51368;1.8;1;0;0;2.3;1.8;1.9;1.8;2.7;2;0.6;0.2;0.4;1.7;2;3.3;2.4;1.6;1.5;0.4;0.7;2.7;2.8;2.3;2.9;2.6;1;2.5;2.8;3;3.3;2.3;3.1;2.2;2;2.1;0.7
51369;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51371;1.9;1.2;0;0;0.6;1.8;1.2;2.2;3.1;1.7;2.5;0;0.4;0.2;2.2;2.3;2.5;3.2;2.2;0.3;0.1;1.6;3;2.8;2.5;3.2;2;1.3;2.9;3.4;3.4;2;2.4;3.1;1.2;2.3;1.3
51372;2.2;2;0;0;2.6;2.2;1.6;1.5;2.3;1.3;1.3;0;0;2.2;1.5;2.1;2.3;2.3;1.5;0.3;0;2.8;2.6;2.9;2.7;3.4;0.8;2.5;3;3;2.7;2.5;2.9;1.9;1.9;2.2;0.2
51375;1.2;0;0;0;2.3;2.2;2.1;2.2;2.2;2.9;0;0.9;0.2;1.2;2.4;2.8;2.8;2.2;1.1;0;1.3;3.2;3;2.9;3.1;2.1;1.2;2.7;2.6;3.5;1.9;2.3;3.2;1.7;2.2;2;0.7
51378;2;1.4;0;0;1.5;2;1.6;1.6;1.9;2.3;1.9;0;0.2;1.3;1.9;3;2.3;2.9;1.7;0.3;0.4;2.7;2.2;2.7;3.2;2.7;0.9;1.9;3.1;2.8;3.7;2.2;2.8;2.1;1.4;2.3;0.4
51382;1.6;1.3;0;0;2.3;2.2;2.2;1.6;3.1;1.7;0;0.4;0.2;2.6;2.1;2.3;2.6;2.2;1.3;0.2;0.7;3;3.2;2.8;3;2.6;0.8;2.6;2.8;2.9;2.4;2.2;3.5;2.1;2.1;2;0.6
51385;1.3;0;0;1.7;2;2;1.2;2.4;1.9;0.2;0.3;0.3;2;1.9;2;2.9;2.1;2.1;0.4;0.7;2.4;3.2;2.5;3.2;2.2;0.9;1.5;2.4;3;2.5;2.3;2.6;2;2.2;2.3;1.1;2
51386;1.2;1.5;0;0;1.7;1.8;1.8;1.7;2.5;2.1;0.9;0.1;0.1;1.8;2;2.6;2.7;2;2;0.1;0.6;2.8;3.1;2.8;2.8;2.2;1.2;1.6;2.5;2.8;2.4;2.2;3.4;2.2;2.1;2.4;0.9
51391;0.9;0;0;1.7;2.1;2.1;1.6;2.7;1.3;0;1.2;0.4;2;1.9;1.9;3.2;2;1.8;0.6;1;3;3.2;3;2.9;1.9;0.2;2.3;2.6;2.7;1.5;2.7;2.8;2;1.9;1.8;1.5;1.8
51393;1.5;0;0;1.7;2.5;2;1.7;2.2;2.2;0.7;0.1;0.6;1.7;1.7;2.7;2.4;2.4;1.7;0.6;0.4;2.1;2.7;2.7;3.1;2.7;0.9;1.5;2.5;2.9;3.1;2;2.6;2.5;1.4;2.2;0.9;1.8
51395;1.1;0;0;2.3;2.3;2.2;1.4;2.1;2.5;0;0.3;0.5;1.9;1.9;2.8;2.4;1.9;1.7;0.4;0.5;2.8;2.8;2.5;3.1;2.6;0.7;2;2.5;2.8;2.8;2.1;2.7;2.3;1.5;2;1;2
51396;0.9;0;0;0.8;2.3;1.8;2.2;2.6;2;1.3;0;1.1;0.9;2;2.5;2.4;2.9;2.4;0.5;0.2;1.6;2.8;2.6;2.6;2.8;1.8;1;2.4;3.1;3.2;2.4;2.8;3;1.8;2.7;1.4;1.6
51398;1.1;0;0;0.7;2.9;2.5;1.5;2.4;1.9;1.5;0;0.4;0.8;2.1;3.1;2.4;2.3;1.8;0.3;0.1;1.9;3.5;2.7;2.8;3.7;1.6;1.5;2.5;2.8;3.3;2.4;2.3;2.6;1.1;2;1.5;1.2
51402;1;0;0;0;1.8;2.6;1.5;2.6;1.7;2.9;0;0.4;0.2;3;2.2;2.1;3.6;1.7;0.8;0;0.9;2.3;2.8;3.2;2.8;2.4;0.8;2.3;2.4;3.5;3.1;3.1;2.8;1.6;2.1;2.4;1.6
68769;1.4;0;0;0.4;2.3;2;1.6;1.9;1.6;2.6;0;0.5;0.4;2.3;2.7;2.1;3;1.7;0.7;0.1;1.5;2.7;2.5;2.9;3;1.7;1.1;2.7;2.9;3;2.2;2.7;2.6;0.8;2.7;1.2;1.4
